t,rI_x,rI_y,rI_z,vI_x,vI_y,vI_z,aI_x,aI_y,aI_z,xI_x,xI_y,xI_z,
0.19,1.985765209,0.23819432,1,-0.149661905,1.247693079,0,-0.783948682,-0.094035348,0,-0.888061199,-0.106523738,-0.447213595,
0.195,1.985007101,0.2444316,1,-0.153580904,1.247216745,0,-0.783649393,-0.096497728,0,-0.887722163,-0.109313135,-0.447213595,
0.2,1.984229403,0.250666467,1,-0.157498386,1.246728103,0,-0.78334237,-0.098959155,0,-0.887374365,-0.112101452,-0.447213595,
0.205,1.98343212,0.25689886,1,-0.161414315,1.246227156,0,-0.783027615,-0.101419605,0,-0.88701781,-0.114888663,-0.447213595,
0.21,1.982615262,0.263128718,1,-0.16532865,1.245713908,0,-0.782705133,-0.103879054,0,-0.8866525,-0.11767474,-0.447213595,
0.215,1.981778836,0.269355979,1,-0.169241353,1.245188367,0,-0.782374925,-0.106337478,0,-0.886278439,-0.120459656,-0.447213595,
0.22,1.980922851,0.275580581,1,-0.173152386,1.244650535,0,-0.782036996,-0.108794853,0,-0.885895631,-0.123243383,-0.447213595,
0.225,1.980047315,0.281802464,1,-0.17706171,1.24410042,0,-0.781691348,-0.111251154,0,-0.885504079,-0.126025893,-0.447213595,
0.23,1.979152237,0.288021565,1,-0.180969287,1.243538026,0,-0.781337985,-0.113706356,0,-0.885103788,-0.12880716,-0.447213595,
0.235,1.978237626,0.294237824,1,-0.184875077,1.242963358,0,-0.780976911,-0.116160437,0,-0.884694761,-0.131587155,-0.447213595,
0.24,1.977303489,0.300451178,1,-0.188779043,1.242376423,0,-0.780608129,-0.118613371,0,-0.884277003,-0.134365852,-0.447213595,
0.245,1.976349838,0.306661567,1,-0.192681146,1.241777227,0,-0.780231642,-0.121065134,0,-0.883850517,-0.137143222,-0.447213595,
0.25,1.975376681,0.31286893,1,-0.196581346,1.241165774,0,-0.779847455,-0.123515703,0,-0.883415308,-0.139919239,-0.447213595,
0.255,1.974384028,0.319073205,1,-0.200479607,1.240542072,0,-0.779455572,-0.125965052,0,-0.88297138,-0.142693875,-0.447213595,
0.26,1.973371888,0.32527433,1,-0.204375889,1.239906125,0,-0.779055995,-0.128413159,0,-0.882518737,-0.145467103,-0.447213595,
0.265,1.972340272,0.331472246,1,-0.208270154,1.239257942,0,-0.778648729,-0.130859997,0,-0.882057385,-0.148238895,-0.447213595,
0.27,1.97128919,0.337666889,1,-0.212162364,1.238597528,0,-0.778233779,-0.133305545,0,-0.881587327,-0.151009224,-0.447213595,
0.275,1.970218652,0.343858201,1,-0.216052479,1.237924889,0,-0.777811147,-0.135749776,0,-0.881108567,-0.153778062,-0.447213595,
0.28,1.969128669,0.350046118,1,-0.219940463,1.237240032,0,-0.777380839,-0.138192668,0,-0.880621112,-0.156545383,-0.447213595,
0.285,1.968019251,0.356230581,1,-0.223826275,1.236542964,0,-0.776942859,-0.140634196,0,-0.880124965,-0.159311159,-0.447213595,
0.29,1.96689041,0.362411527,1,-0.227709878,1.235833692,0,-0.77649721,-0.143074336,0,-0.879620132,-0.162075362,-0.447213595,
0.295,1.965742156,0.368588897,1,-0.231591234,1.235112223,0,-0.776043897,-0.145513064,0,-0.879106618,-0.164837966,-0.447213595,
0.3,1.964574501,0.374762629,1,-0.235470305,1.234378564,0,-0.775582926,-0.147950356,0,-0.878584426,-0.167598943,-0.447213595,
0.305,1.963387457,0.380932662,1,-0.239347051,1.233632722,0,-0.7751143,-0.150386187,0,-0.878053564,-0.170358266,-0.447213595,
0.31,1.962181035,0.387098936,1,-0.243221435,1.232874705,0,-0.774638023,-0.152820535,0,-0.877514036,-0.173115907,-0.447213595,
0.315,1.960955247,0.393261389,1,-0.247093418,1.232104519,0,-0.774154101,-0.155253374,0,-0.876965847,-0.17587184,-0.447213595,
0.32,1.959710105,0.399419961,1,-0.250962963,1.231322174,0,-0.773662539,-0.15768468,0,-0.876409002,-0.178626037,-0.447213595,
0.325,1.958445621,0.405574591,1,-0.254830031,1.230527675,0,-0.773163341,-0.160114431,0,-0.875843508,-0.181378471,-0.447213595,
0.33,1.957161809,0.411725218,1,-0.258694584,1.229721032,0,-0.772656512,-0.162542601,0,-0.875269369,-0.184129115,-0.447213595,
0.335,1.95585868,0.417871781,1,-0.262556583,1.228902252,0,-0.772142057,-0.164969167,0,-0.874686592,-0.186877942,-0.447213595,
0.34,1.954536247,0.42401422,1,-0.266415992,1.228071343,0,-0.771619982,-0.167394104,0,-0.874095183,-0.189624924,-0.447213595,
0.345,1.953194524,0.430152474,1,-0.27027277,1.227228314,0,-0.771090291,-0.16981739,0,-0.873495146,-0.192370035,-0.447213595,
0.35,1.951833524,0.436286483,1,-0.274126882,1.226373172,0,-0.770552989,-0.172239,0,-0.872886488,-0.195113247,-0.447213595,
0.355,1.95045326,0.442416186,1,-0.277978288,1.225505926,0,-0.770008083,-0.174658909,0,-0.872269215,-0.197854533,-0.447213595,
0.36,1.949053746,0.448541522,1,-0.28182695,1.224626586,0,-0.769455577,-0.177077095,0,-0.871643333,-0.200593867,-0.447213595,
0.365,1.947634995,0.454662431,1,-0.285672831,1.223735158,0,-0.768895477,-0.179493533,0,-0.871008849,-0.203331221,-0.447213595,
0.37,1.946197022,0.460778853,1,-0.289515892,1.222831653,0,-0.768327788,-0.1819082,0,-0.870365768,-0.206066568,-0.447213595,
